episode,clip_number,youtube_id,start,end,topics
92,1,90-aXcTQw34,84,204,Laqueefious| Meatballs| Spontaneous
92,2,90-aXcTQw34,337,457,Stella| Bike| Pokemon
92,99,90-aXcTQw34,503,623,Hello Fresh Advertisment
92,3,90-aXcTQw34,650,770,Minecraft| Walgreens| Soccer
92,4,90-aXcTQw34,900,1020,A Tribute to Boobs & Cash
93,1,rjBtpTI0MAc,60,180,Ambidextrous| Chronicle| Afghanistan| Revolutionary
93,2,rjBtpTI0MAc,270,390,Motorcycle| Vape| Controller
93,3,rjBtpTI0MAc,550,670,McDonald's| Marijuana| Grass
94,1,bJgAtUirT7I,89,209,Shifters| Exotic| White Line
94,2,bJgAtUirT7I,413,533,Purple| Difficult| Handball
94,3,bJgAtUirT7I,706,826,Basketball| Bench| Stairs
95,1,1suTTTUn7iA,72,192,Pottery| Universal| Outstanding
95,99,1suTTTUn7iA,316,436,NordVPN Advertisment
95,2,1suTTTUn7iA,441,561,Complimentary| Extraterrestrial| Continental| Certified
95,3,1suTTTUn7iA,752,872,Arctic Monkeys| Live| Laugh| Love| Cats (Lucy| Ginger)
